               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.024893,            0.011497,           0.0032748,             0.93987,             0.94585,             0.96271,             0.64656,            0.024412,            0.013876,           0.0032082,            0.005446,            0.005446,            0.005446
                  48,            0.024695,            0.011206,            0.003162,             0.94441,             0.94564,             0.96179,             0.64178,            0.024787,            0.014037,           0.0034827,            0.005347,            0.005347,            0.005347
                  49,            0.024654,            0.011515,            0.003224,             0.94331,             0.94876,             0.96037,             0.65076,             0.02407,            0.013755,           0.0026128,            0.005248,            0.005248,            0.005248
                  50,            0.024462,            0.011176,           0.0032901,             0.94447,             0.95033,             0.96262,              0.6551,            0.024062,            0.013753,           0.0029432,            0.005149,            0.005149,            0.005149
                  51,            0.024547,            0.011319,           0.0032193,               0.947,             0.95661,             0.96224,              0.6519,             0.02421,            0.013762,           0.0031851,             0.00505,             0.00505,             0.00505
                  52,            0.024125,            0.011128,           0.0031151,             0.94112,             0.94703,             0.96187,             0.64881,            0.024438,            0.013713,           0.0026634,            0.004951,            0.004951,            0.004951
                  53,            0.024033,            0.011132,           0.0031558,             0.93756,             0.95005,              0.9626,             0.65093,            0.024375,             0.01378,           0.0029952,            0.004852,            0.004852,            0.004852
                  54,            0.023686,            0.011067,           0.0029976,             0.93702,             0.95118,             0.96006,             0.64865,            0.024063,             0.01363,           0.0032899,            0.004753,            0.004753,            0.004753
                  55,            0.024067,            0.011263,           0.0032613,             0.93955,             0.95093,             0.96016,             0.65206,             0.02412,            0.013843,            0.003122,            0.004654,            0.004654,            0.004654
                  56,            0.023475,            0.010991,            0.002985,             0.94386,             0.95524,             0.96237,             0.65031,             0.02391,            0.013655,           0.0031445,            0.004555,            0.004555,            0.004555
                  57,            0.023535,            0.011112,            0.002981,              0.9379,             0.95525,              0.9675,               0.651,            0.023987,            0.013678,           0.0028403,            0.004456,            0.004456,            0.004456
                  58,            0.023203,            0.011098,           0.0029242,             0.94735,             0.94506,              0.9612,             0.65441,            0.023906,            0.013698,           0.0030397,            0.004357,            0.004357,            0.004357
                  59,            0.023162,            0.011013,           0.0029457,             0.94147,             0.95126,             0.96201,             0.65444,              0.0237,            0.013779,           0.0029907,            0.004258,            0.004258,            0.004258
                  60,            0.023249,            0.011084,           0.0029729,             0.94019,             0.94835,             0.95846,             0.64727,            0.024025,            0.013821,           0.0031542,            0.004159,            0.004159,            0.004159
                  61,             0.02305,            0.010861,           0.0028604,             0.94152,             0.94289,             0.96482,             0.65467,            0.024037,            0.013903,           0.0031649,             0.00406,             0.00406,             0.00406
                  62,            0.023073,            0.010993,           0.0031027,             0.92931,             0.95431,              0.9587,              0.6537,            0.023897,            0.013799,           0.0029153,            0.003961,            0.003961,            0.003961
                  63,            0.023106,             0.01083,           0.0030196,             0.93717,             0.94288,             0.95944,             0.65486,            0.023832,            0.013866,           0.0025689,            0.003862,            0.003862,            0.003862
                  64,             0.02271,              0.0107,           0.0028532,             0.93775,             0.95285,             0.96212,             0.65801,             0.02374,            0.013748,           0.0029999,            0.003763,            0.003763,            0.003763
                  65,             0.02259,            0.010794,           0.0029812,             0.94452,             0.93921,             0.95808,             0.65314,            0.023932,            0.013967,           0.0031178,            0.003664,            0.003664,            0.003664
                  66,            0.022195,            0.010577,           0.0027933,             0.95013,             0.95133,             0.96501,             0.65384,            0.023914,            0.013761,           0.0028409,            0.003565,            0.003565,            0.003565
                  67,            0.022521,              0.0108,           0.0028326,             0.95382,             0.94687,             0.96355,             0.65589,            0.023815,            0.013699,           0.0030534,            0.003466,            0.003466,            0.003466
                  68,            0.022485,            0.010833,           0.0029326,             0.94844,             0.95215,             0.95997,             0.65713,              0.0236,            0.013563,           0.0032986,            0.003367,            0.003367,            0.003367
                  69,            0.022182,            0.010494,           0.0027718,              0.9444,             0.94057,             0.95548,              0.6528,            0.023874,            0.013751,           0.0030958,            0.003268,            0.003268,            0.003268
                  70,            0.022045,            0.010789,           0.0028889,             0.95252,             0.94589,             0.96121,             0.65558,            0.023652,            0.013704,           0.0031348,            0.003169,            0.003169,            0.003169
                  71,            0.021805,            0.010502,           0.0026978,             0.94642,             0.94075,             0.96148,             0.65283,            0.023812,            0.013783,           0.0030686,             0.00307,             0.00307,             0.00307
                  72,            0.021966,            0.010682,           0.0028531,             0.94659,             0.94969,             0.96018,             0.65332,            0.023682,            0.013633,           0.0028371,            0.002971,            0.002971,            0.002971
                  73,            0.021714,            0.010523,           0.0027831,             0.94942,              0.9465,             0.96071,             0.65309,            0.023743,            0.013766,            0.002453,            0.002872,            0.002872,            0.002872
                  74,            0.021752,             0.01073,           0.0027811,             0.94998,             0.94627,             0.96172,             0.65581,            0.023661,            0.013842,           0.0025939,            0.002773,            0.002773,            0.002773
                  75,            0.021635,            0.010347,           0.0026976,              0.9406,             0.95519,             0.96235,             0.65739,            0.023468,            0.013629,           0.0025389,            0.002674,            0.002674,            0.002674
                  76,            0.021565,            0.010345,           0.0026866,             0.95025,             0.95024,             0.96239,             0.65552,            0.023584,            0.013929,           0.0026443,            0.002575,            0.002575,            0.002575
                  77,            0.021375,            0.010625,           0.0027195,             0.94629,             0.95209,             0.96084,             0.65984,             0.02334,            0.013719,           0.0029251,            0.002476,            0.002476,            0.002476
                  78,             0.02129,            0.010374,            0.002748,             0.93779,             0.95346,             0.95964,             0.65532,            0.023448,            0.013632,           0.0030454,            0.002377,            0.002377,            0.002377
                  79,            0.021248,            0.010308,           0.0026532,              0.9446,              0.9505,             0.96246,             0.66059,            0.023479,             0.01374,           0.0028311,            0.002278,            0.002278,            0.002278
