               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.023636,            0.011314,            0.003066,             0.94678,             0.94188,             0.96179,             0.64426,             0.02463,             0.01408,           0.0027034,            0.002278,            0.002278,            0.002278
                  80,            0.023539,            0.011003,           0.0031183,             0.94963,             0.93708,             0.96123,             0.64455,            0.024594,            0.014306,           0.0026022,            0.002179,            0.002179,            0.002179
                  81,            0.023822,             0.01122,           0.0034075,                0.95,             0.94111,             0.96337,             0.64416,            0.024602,            0.014129,           0.0027208,             0.00208,             0.00208,             0.00208
                  82,            0.023543,            0.011481,           0.0034445,             0.95087,             0.94041,               0.964,             0.64984,            0.024183,            0.014061,           0.0026987,            0.001981,            0.001981,            0.001981
                  83,            0.023096,            0.010989,           0.0030279,             0.95036,             0.94134,             0.95912,             0.64326,            0.024399,            0.014077,           0.0025902,            0.001882,            0.001882,            0.001882
                  84,            0.023314,            0.010994,           0.0029232,             0.95291,             0.94051,             0.96297,             0.64541,            0.024503,            0.014281,           0.0026907,            0.001783,            0.001783,            0.001783
                  85,            0.023151,            0.011372,           0.0030411,             0.94918,             0.94343,             0.95995,             0.64495,            0.024321,            0.014194,           0.0026737,            0.001684,            0.001684,            0.001684
                  86,             0.02282,            0.011105,           0.0029693,             0.94815,             0.94331,             0.95925,             0.64238,            0.024469,            0.014368,           0.0027777,            0.001585,            0.001585,            0.001585
                  87,            0.022664,            0.010894,           0.0030604,             0.94424,              0.9337,             0.95774,             0.64432,            0.024403,            0.014403,           0.0028906,            0.001486,            0.001486,            0.001486
                  88,            0.022483,            0.010982,            0.002926,             0.95044,             0.93319,             0.95987,             0.64703,            0.024291,            0.014068,           0.0027426,            0.001387,            0.001387,            0.001387
                  89,            0.022735,            0.011003,            0.003063,             0.94278,             0.94393,             0.96081,             0.64803,            0.024472,            0.014141,           0.0029337,            0.001288,            0.001288,            0.001288
                  90,            0.022697,            0.011047,            0.002873,             0.94165,             0.94659,             0.96001,             0.64894,            0.024301,            0.014194,           0.0028528,            0.001189,            0.001189,            0.001189
                  91,            0.022529,            0.011147,           0.0028504,             0.94656,             0.93866,             0.96013,             0.64723,            0.024263,            0.014192,           0.0027738,             0.00109,             0.00109,             0.00109
                  92,            0.022415,            0.011061,           0.0030147,             0.94998,             0.93394,             0.96035,             0.64761,            0.024163,            0.014168,           0.0028918,            0.000991,            0.000991,            0.000991
                  93,            0.022666,            0.010945,           0.0031154,             0.94101,             0.94346,             0.96087,             0.65012,            0.024115,            0.014145,           0.0029286,            0.000892,            0.000892,            0.000892
                  94,            0.022385,            0.010761,            0.002925,             0.94451,             0.95085,             0.96058,             0.64953,            0.023979,            0.014162,           0.0028351,            0.000793,            0.000793,            0.000793
                  95,            0.022434,            0.011263,           0.0028495,             0.94043,             0.94739,             0.96164,             0.65009,            0.024035,              0.0141,           0.0026859,            0.000694,            0.000694,            0.000694
                  96,            0.022458,            0.010915,           0.0030306,             0.94136,             0.94306,             0.96204,             0.65264,            0.023924,             0.01402,           0.0027294,            0.000595,            0.000595,            0.000595
                  97,            0.022513,            0.010875,           0.0029813,             0.94023,             0.93506,             0.95897,             0.64974,            0.023999,            0.014068,           0.0028114,            0.000496,            0.000496,            0.000496
                  98,            0.022395,            0.011163,           0.0029556,             0.94273,              0.9442,              0.9625,             0.64908,            0.023841,            0.014071,           0.0027597,            0.000397,            0.000397,            0.000397
                  99,            0.021877,            0.010929,           0.0029338,             0.94753,               0.936,             0.96038,             0.64799,            0.024026,            0.014127,           0.0028079,            0.000298,            0.000298,            0.000298
